Thang,Gia_trung_vi_ty,Du_bao_nha_dat_ty,Du_bao_chung_cu_ty
2026-01-01,12.65,12.65,12.65
2026-02-01,12.65,12.681198312619642,12.71157451465159
2026-03-01,12.65,12.712473568694644,12.773448746366784
2026-04-01,12.65,12.743825957988326,12.83562415403354
2026-05-01,12.65,12.775255670732012,12.898102203641036
2026-06-01,12.65,12.806762897626188,12.960884368314224
2026-07-01,12.65,12.838347829841664,13.023972128348555
2026-08-01,12.65,12.870010659020723,13.087366971244911
2026-09-01,12.65,12.901751577278294,13.151070391744646
2026-10-01,12.65,12.933570777203107,13.21508389186485
2026-11-01,12.65,12.965468451858872,13.279408980933754
2026-12-01,12.65,12.997444794785448,13.344047175626319
2027-01-01,12.65,13.029500000000015,13.409
