district,bedrooms,bathrooms,price_vnd,area_m2,price_per_m2
Nam Từ Liêm,0,0,7.0,94.0,74468085.10638298
Đống Đa,0,0,5.0,31.0,161290322.58064517
Đông Anh,0,0,16.0,67.0,238805970.14925373
Hoàng Mai,0,0,40.0,128.0,312500000.0
Nam Từ Liêm,0,0,3.0,54.0,55555555.55555555
Hà Đông,0,0,4.0,78.0,51282051.28205128
Cam Ranh,0,0,6.0,120.0,50000000.0
Hai Bà Trưng,0,0,7.0,87.0,80459770.11494254
Hà Đông,0,0,40.0,198.0,202020202.020202
Hai Bà Trưng,0,0,7.0,45.0,155555555.55555555
Hoàng Mai,0,0,5.0,74.0,67567567.56756757
Hoàng Mai,0,0,39.0,130.0,300000000.0
Hà Đông,0,0,21.0,120.0,175000000.0
Đông Anh,0,0,14.0,63.0,222222222.2222222
Hai Bà Trưng,0,0,5.0,83.0,60240963.855421685
Đống Đa,0,0,7.0,39.0,179487179.4871795
Gia Lâm,0,0,2.0,43.0,46511627.906976745
Hà Đông,0,0,17.0,80.0,212500000.0
Hai Bà Trưng,0,0,5.0,78.0,64102564.102564104
Nam Từ Liêm,0,0,3.0,69.0,43478260.86956522
Đông Anh,0,0,15.0,63.0,238095238.0952381
Đông Anh,0,0,16.0,67.0,238805970.14925373
Thường Tín,0,0,11.0,81.0,135802469.13580248
Tây Hồ,0,0,60.0,140.0,428571428.5714286
Cam Ranh,0,0,6.0,120.0,50000000.0
Gia Lâm,0,0,2.0,55.0,36363636.36363637
Nam Từ Liêm,0,0,3.0,41.0,73170731.70731707
Mê Linh,0,0,15.0,250.0,60000000.0
Hoàng Mai,0,0,0.261,280.0,932142.8571428572
Bắc Từ Liêm,0,0,5.0,110.0,45454545.45454545
Long Biên,0,0,6.0,120.0,50000000.0
Bắc Từ Liêm,0,0,6.0,110.0,54545454.54545455
Nam Từ Liêm,0,0,43.0,143.0,300699300.6993007
Hà Đông,0,0,13.0,300.0,43333333.333333336
Quốc Oai,0,0,5.0,350.0,14285714.285714285
Long Biên,0,0,6.0,45.0,133333333.33333333
Đống Đa,0,0,11.0,42.0,261904761.9047619
Ba Đình,0,0,8.0,40.0,200000000.0
Thạch Thất,0,0,13.0,220.0,59090909.09090909
Tây Hồ,0,0,6.0,40.0,150000000.0
Gia Lâm,0,0,3.0,70.0,42857142.85714286
Thanh Oai,0,0,3.0,44.0,68181818.18181819
Gia Lâm,0,0,2.0,43.0,46511627.906976745
Móng Cái,0,0,6.0,90.0,66666666.666666664
Đống Đa,0,0,9.0,93.0,96774193.5483871
Tây Hồ,0,0,9.0,98.0,91836734.69387755
Thanh Xuân,0,0,5.0,71.0,70422535.2112676
Tây Hồ,0,0,66.0,197.0,335025380.7106599
Hai Bà Trưng,0,0,4.0,70.0,57142857.14285714
Tây Hồ,0,0,45.0,126.0,357142857.14285713
Thanh Xuân,0,0,9.0,163.0,55214723.926380366
Hai Bà Trưng,0,0,4.0,70.0,57142857.14285714
Nam Từ Liêm,0,0,11.0,64.0,171875000.0
Tây Hồ,0,0,48.0,150.0,320000000.0
Tây Hồ,0,0,39.0,146.0,267123287.67123288
Tây Hồ,0,0,48.0,150.0,320000000.0
Tây Hồ,0,0,39.0,146.0,267123287.67123288
Gia Lâm,0,0,1.0,36.0,27777777.777777776
Thanh Xuân,0,0,5.0,64.0,78125000.0
Thạch Thất,0,0,13.0,220.0,59090909.09090909
Long Biên,0,0,10.0,80.0,125000000.0
Tây Hồ,0,0,82.0,150.0,546666666.6666666
Cầu Giấy,0,0,6.0,95.0,63157894.7368421
Hai Bà Trưng,0,0,27.0,96.0,281250000.0
Móng Cái,0,0,6.0,90.0,66666666.666666664
Tây Hồ,0,0,12.0,73.0,164383561.6438356
Hai Bà Trưng,0,0,6.0,82.0,73170731.70731707
Long Biên,0,0,6.0,42.0,142857142.85714287
Đống Đa,0,0,4.0,100.0,40000000.0
Tây Hồ,0,0,66.0,185.0,356756756.7567568
Gia Lâm,0,0,24.0,150.0,160000000.0
Thanh Xuân,0,0,6.0,84.0,71428571.42857143
Thanh Xuân,0,0,5.0,67.0,74626865.6716418
Tây Hồ,0,0,14.0,104.0,134615384.6153846
Hà Đông,0,0,5.0,88.0,56818181.81818182
Hai Bà Trưng,0,0,48.0,148.0,324324324.3243243
Hai Bà Trưng,0,0,48.0,148.0,324324324.3243243
Thanh Xuân,0,0,5.0,71.0,70422535.2112676
Nam Từ Liêm,0,0,5.0,110.0,45454545.45454545
Bắc Từ Liêm,0,0,0.175,51.0,3431372.5490196077
Thạch Thất,0,0,13.0,220.0,59090909.09090909
Hoàng Mai,0,0,2.0,65.0,30769230.769230768
Tây Hồ,0,0,9.0,98.0,91836734.69387755
Cầu Giấy,0,0,6.0,81.0,74074074.07407407
Cầu Giấy,0,0,9.0,124.0,72580645.16129032
Móng Cái,0,0,6.0,90.0,66666666.666666664
Thanh Trì,0,0,9.0,50.0,180000000.0
Tây Hồ,0,0,22.0,80.0,275000000.0
Thanh Xuân,0,0,4.0,101.0,39603960.396039605
Hà Đông,0,0,5.0,120.0,41666666.666666664
Tây Hồ,0,0,88.0,203.0,433497536.9458128
Long Biên,0,0,4.0,33.0,121212121.21212122
Thanh Xuân,0,0,4.0,93.0,43010752.68817204
Hà Đông,0,0,3.0,60.0,50000000.0
Tây Hồ,0,0,21.0,68.0,308823529.4117647
Đống Đa,0,0,16.0,136.0,117647058.8235294
Tây Hồ,0,0,95.0,409.0,232273838.63080683
Thạch Thất,0,0,13.0,220.0,59090909.09090909
Đống Đa,0,0,7.0,32.0,218750000.0
Thanh Xuân,0,0,9.0,97.0,92783505.15463917
Hà Đông,0,0,4.0,85.0,47058823.52941176
Móng Cái,0,0,6.0,90.0,66666666.666666664
Hoàng Mai,0,0,62.0,220.0,281818181.8181818
Hà Đông,0,0,4.0,74.0,54054054.05405405
Hà Đông,0,0,5.0,90.0,55555555.55555555
Gia Lâm,0,0,5.0,86.0,58139534.88372093
Nam Từ Liêm,0,0,4.0,65.0,61538461.538461536
Ba Đình,0,0,71.0,131.0,541984732.8244275
Thanh Xuân,0,0,19.0,145.0,131034482.7586207
Gia Lâm,0,0,2.0,59.0,33898305.084745765
Đống Đa,0,0,3.0,37.0,81081081.08108108
Thạch Thất,0,0,13.0,220.0,59090909.09090909
Nam Từ Liêm,0,0,5.0,104.0,48076923.07692308
Tây Hồ,0,0,42.0,140.0,300000000.0
Đống Đa,0,0,7.0,32.0,218750000.0
Cầu Giấy,0,0,5.0,70.0,71428571.42857143
Bắc Từ Liêm,0,0,4.0,66.0,60606060.60606061
Gia Lâm,0,0,2.0,50.0,40000000.0
Long Biên,0,0,13.0,90.0,144444444.44444445
Cầu Giấy,0,0,18.0,74.0,243243243.24324325
Tây Hồ,0,0,46.0,140.0,328571428.5714286
Hà Đông,0,0,5.0,126.0,39682539.68253968
Hà Đông,0,0,5.0,38.0,131578947.36842105
Nam Từ Liêm,0,0,4.0,65.0,61538461.538461536
Nam Từ Liêm,0,0,4.0,112.0,35714285.71428572
Nam Từ Liêm,0,0,7.0,89.0,78651685.39325842
Nam Từ Liêm,0,0,5.0,83.0,60240963.855421685
Nam Từ Liêm,0,0,5.0,83.0,60240963.855421685
Cầu Giấy,0,0,8.0,125.0,64000000.0
Cầu Giấy,0,0,7.0,111.0,63063063.06306306
Móng Cái,0,0,6.0,90.0,66666666.666666664
Tây Hồ,0,0,80.0,126.0,634920634.9206349
Nam Từ Liêm,0,0,6.0,110.0,54545454.54545455
Nam Từ Liêm,0,0,8.0,152.0,52631578.94736842
Đống Đa,0,0,32.0,100.0,320000000.0
Đông Anh,0,0,16.0,67.0,238805970.14925373
Cầu Giấy,0,0,4.0,68.0,58823529.4117647
Hoài Đức,0,0,14.0,110.0,127272727.27272727
Nam Từ Liêm,0,0,4.0,72.0,55555555.55555555
Gia Lâm,0,0,2.0,59.0,33898305.084745765
Tây Hồ,0,0,34.0,180.0,188888888.8888889
Cầu Giấy,0,0,49.0,89.0,550561797.752809
Đống Đa,0,0,15.0,48.0,312500000.0
Hà Đông,0,0,5.0,36.0,138888888.8888889
Tây Hồ,0,0,17.0,94.0,180851063.82978722
Nam Từ Liêm,0,0,8.0,73.0,109589041.09589042
Nam Từ Liêm,0,0,6.0,93.0,64516129.03225806
Thanh Trì,0,0,4.0,76.0,52631578.94736842
Cầu Giấy,0,0,6.0,88.0,68181818.18181819
Hoàng Mai,0,0,6.0,30.0,200000000.0
Hoàng Mai,0,0,6.0,30.0,200000000.0
Hà Đông,0,0,32.0,160.0,200000000.0
Long Biên,0,0,17.0,54.0,314814814.8148148
Hai Bà Trưng,0,0,18.0,89.0,202247191.01123595
Thanh Trì,0,0,3.0,86.0,34883720.930232555
Hà Đông,0,0,4.0,87.0,45977011.494252875
Đông Anh,0,0,16.0,67.0,238805970.14925373
Tây Hồ,0,0,17.0,146.0,116438356.16438356
Ba Đình,0,0,11.0,52.0,211538461.53846154
Thanh Xuân,0,0,27.0,79.0,341772151.89873415
Ba Vì,0,0,1.0,280.0,3571428.5714285714
Tây Hồ,0,0,13.0,104.0,125000000.0
Bắc Từ Liêm,0,0,8.0,114.0,70175438.59649123
Tây Hồ,0,0,4.0,60.0,66666666.666666664
Thanh Trì,0,0,6.0,36.0,166666666.66666666
Ba Đình,0,0,4.0,50.0,80000000.0
Ba Đình,0,0,4.0,50.0,80000000.0
Chương Mỹ,0,0,1.0,63.0,15873015.873015873
Nam Từ Liêm,0,0,3.0,55.0,54545454.54545455
Tây Hồ,0,0,8.0,85.0,94117647.05882353
Hà Đông,0,0,5.0,30.0,166666666.66666666
Đông Anh,0,0,16.0,67.0,238805970.14925373
Hà Đông,0,0,2.0,68.0,29411764.70588235
Hoàng Mai,0,0,4.0,104.0,38461538.461538464
Gia Lâm,0,0,1.0,39.0,25641025.64102564
Long Biên,0,0,5.0,52.0,96153846.15384616
Thanh Trì,0,0,4.0,31.0,129032258.06451613
Cầu Giấy,0,0,8.0,98.0,81632653.06122449
Cầu Giấy,0,0,7.0,30.0,233333333.33333334
Thanh Trì,0,0,4.0,35.0,114285714.28571428
Thanh Xuân,0,0,6.0,40.0,150000000.0
Nam Từ Liêm,0,0,4.0,69.0,57971014.492753625
Thanh Xuân,0,0,8.0,128.0,62500000.0
Long Biên,0,0,3.0,25.0,120000000.0
Bắc Từ Liêm,0,0,7.0,30.0,233333333.33333334
Gia Lâm,0,0,2.0,58.0,34482758.62068965
Gia Lâm,0,0,4.0,65.0,61538461.538461536
Gia Lâm,0,0,2.0,55.0,36363636.36363637
Cầu Giấy,0,0,6.0,35.0,171428571.42857143
Tây Hồ,0,0,13.0,160.0,81250000.0
Đống Đa,0,0,11.0,50.0,220000000.0
Tây Hồ,0,0,7.0,70.0,100000000.0
Tây Hồ,0,0,7.0,130.0,53846153.84615385
Hà Đông,0,0,13.0,65.0,200000000.0
Đông Anh,0,0,16.0,67.0,238805970.14925373
Gia Lâm,0,0,2.0,58.0,34482758.62068965
Gia Lâm,0,0,4.0,85.0,47058823.52941176
Gia Lâm,0,0,2.0,46.0,43478260.86956522
Móng Cái,0,0,6.0,90.0,66666666.666666664
Cầu Giấy,0,0,6.0,33.0,181818181.8181818
Thanh Xuân,0,0,8.0,125.0,64000000.0
Bắc Từ Liêm,0,0,0.175,66.0,2651515.1515151514
Đống Đa,0,0,3.0,70.0,42857142.85714286
Sóc Sơn,0,0,1.0,67.0,14925373.134328358
Gia Lâm,0,0,3.0,80.0,37500000.0
Long Biên,0,0,6.0,40.0,150000000.0
Hà Đông,0,0,6.0,33.0,181818181.8181818
Gia Lâm,0,0,3.0,70.0,42857142.85714286
Gia Lâm,0,0,1.0,31.0,32258064.51612903
Hà Đông,0,0,8.0,75.0,106666666.66666667
Tây Hồ,0,0,3.0,33.0,90909090.9090909
Đống Đa,0,0,39.0,100.0,390000000.0
Móng Cái,0,0,6.0,90.0,66666666.666666664
Nam Từ Liêm,0,0,7.0,125.0,56000000.0
Long Biên,0,0,8.0,36.0,222222222.2222222
Gia Lâm,0,0,2.0,60.0,33333333.333333332
Nam Từ Liêm,0,0,5.0,100.0,50000000.0
Nam Từ Liêm,0,0,12.0,46.0,260869565.2173913
Gia Lâm,0,0,2.0,48.0,41666666.666666664
Hà Đông,0,0,5.0,35.0,142857142.85714287
Sơn Tây,0,0,2.0,69.0,28985507.246376812
Hà Đông,0,0,5.0,32.0,156250000.0
Tây Hồ,0,0,6.0,81.0,74074074.07407407
Nam Từ Liêm,0,0,9.0,165.0,54545454.54545455
Cầu Giấy,0,0,8.0,38.0,210526315.78947368
Hoài Đức,0,0,21.0,147.0,142857142.85714287
Móng Cái,0,0,6.0,90.0,66666666.666666664
Hà Đông,0,0,4.0,77.0,51948051.948051944
Long Biên,0,0,34.0,270.0,125925925.92592593
Hai Bà Trưng,0,0,6.0,68.0,88235294.11764705
Cầu Giấy,0,0,7.0,77.0,90909090.9090909
Hoài Đức,0,0,14.0,63.0,222222222.2222222
Đống Đa,0,0,29.0,72.0,402777777.7777778
Hoàng Mai,0,0,0.14,357.0,392156.862745098
Hoài Đức,0,0,0.125,85.0,1470588.2352941176
Tây Hồ,0,0,8.0,37.0,216216216.2162162
Hà Đông,0,0,5.0,31.0,161290322.58064517
Long Biên,0,0,3.0,34.0,88235294.11764705
Long Biên,0,0,3.0,34.0,88235294.11764705
Cầu Giấy,0,0,8.0,96.0,83333333.33333333
Thanh Xuân,0,0,9.0,42.0,214285714.2857143
