district,bedrooms,bathrooms,price_vnd,area_m2,price_per_m2
Thanh Trì,0,0,8.0,105.0,76190476.1904762
Long Biên,0,0,4.0,77.0,51948051.948051944
Ba Đình,0,0,71.0,106.0,669811320.754717
Long Biên,0,0,21.0,90.0,233333333.33333334
Long Biên,0,0,21.0,90.0,233333333.33333334
Nam Từ Liêm,0,0,4.0,70.0,57142857.14285714
Hai Bà Trưng,0,0,25.0,91.0,274725274.72527474
Hoài Đức,0,0,20.0,100.0,200000000.0
Bắc Từ Liêm,0,0,0.4,350.0,1142857.142857143
Thanh Trì,0,0,3.0,51.0,58823529.4117647
Hai Bà Trưng,0,0,25.0,71.0,352112676.056338
Ba Đình,0,0,98.0,300.0,326666666.6666667
Nam Từ Liêm,0,0,5.0,80.0,62500000.0
Hoài Đức,0,0,0.22,171.0,1286549.707602339
Ba Đình,0,0,26.0,105.0,247619047.6190476
Hà Đông,0,0,12.0,38.0,315789473.68421054
Bắc Từ Liêm,0,0,4.0,70.0,57142857.14285714
Cầu Giấy,0,0,35.0,136.0,257352941.17647058
Thanh Xuân,0,0,7.0,105.0,66666666.666666664
Cầu Giấy,0,0,26.0,60.0,433333333.3333333
Móng Cái,0,0,6.0,90.0,66666666.666666664
Ba Đình,0,0,7.0,46.0,152173913.04347825
Thanh Xuân,0,0,8.0,126.0,63492063.49206349
Ba Đình,0,0,0.108,76.0,1421052.6315789474
Bắc Từ Liêm,0,0,5.0,74.0,67567567.56756757
Hoài Đức,0,0,3.0,32.0,93750000.0
Bắc Từ Liêm,0,0,4.0,60.0,66666666.666666664
Quốc Oai,0,0,4.0,350.0,11428571.42857143
Hà Đông,0,0,18.0,54.0,333333333.3333333
Hà Đông,0,0,14.0,55.0,254545454.54545453
Hoài Đức,0,0,0.185,123.0,1504065.0406504066
Hoài Đức,0,0,3.0,33.0,90909090.9090909
Tây Hồ,0,0,78.0,115.0,678260869.5652174
Tây Hồ,0,0,78.0,115.0,678260869.5652174
Hoàng Mai,0,0,4.0,30.0,133333333.33333333
Móng Cái,0,0,6.0,90.0,66666666.666666664
Hà Đông,0,0,8.0,45.0,177777777.7777778
Tây Hồ,0,0,95.0,240.0,395833333.3333333
Hoàng Mai,0,0,10.0,56.0,178571428.57142857
Long Biên,0,0,0.178,338.0,526627.2189349112
Thanh Xuân,0,0,11.0,52.0,211538461.53846154
Long Biên,0,0,28.0,90.0,311111111.1111111
Ba Đình,0,0,12.0,68.0,176470588.2352941
Gia Lâm,0,0,26.0,140.0,185714285.7142857
Gia Lâm,0,0,16.0,132.0,121212121.21212122
Gia Lâm,0,0,16.0,132.0,121212121.21212122
Cầu Giấy,0,0,7.0,78.0,89743589.74358974
Long Biên,0,0,3.0,57.0,52631578.94736842
Tây Hồ,0,0,8.0,130.0,61538461.538461536
Móng Cái,0,0,6.0,90.0,66666666.666666664
Thanh Xuân,0,0,42.0,162.0,259259259.25925925
Chương Mỹ,0,0,3.0,158.0,18987341.7721519
Hoài Đức,0,0,7.0,150.0,46666666.666666664
Long Biên,0,0,6.0,58.0,103448275.86206897
Tây Hồ,0,0,35.0,181.0,193370165.74585634
Thanh Xuân,0,0,11.0,50.0,220000000.0
Bắc Từ Liêm,0,0,4.0,74.0,54054054.05405405
Nam Từ Liêm,0,0,4.0,77.0,51948051.948051944
Hoài Đức,0,0,2.0,43.0,46511627.906976745
Hà Đông,0,0,5.0,33.0,151515151.5151515
Hà Đông,0,0,12.0,50.0,240000000.0
Ba Đình,0,0,6.0,48.0,125000000.0
Nam Từ Liêm,0,0,4.0,77.0,51948051.948051944
Hoài Đức,0,0,2.0,43.0,46511627.906976745
Hà Đông,0,0,5.0,33.0,151515151.5151515
Móng Cái,0,0,6.0,90.0,66666666.666666664
Hà Đông,0,0,12.0,50.0,240000000.0
Ba Đình,0,0,6.0,48.0,125000000.0
Nam Từ Liêm,0,0,4.0,77.0,51948051.948051944
Hoàn Kiếm,0,0,11.0,30.0,366666666.6666667
Cầu Giấy,0,0,10.0,127.0,78740157.48031496
Hoài Đức,0,0,11.0,80.0,137500000.0
Hà Đông,0,0,14.0,50.0,280000000.0
Hoàn Kiếm,0,0,13.0,60.0,216666666.66666666
Long Biên,0,0,6.0,31.0,193548387.0967742
Hoài Đức,0,0,2.0,43.0,46511627.906976745
Ba Đình,0,0,8.0,55.0,145454545.45454547
Thanh Xuân,0,0,11.0,52.0,211538461.53846154
Thanh Xuân,0,0,11.0,52.0,211538461.53846154
Hà Đông,0,0,12.0,50.0,240000000.0
Bắc Từ Liêm,0,0,16.0,70.0,228571428.57142857
Gia Lâm,0,0,2.0,41.0,48780487.80487805
Hà Đông,0,0,7.0,33.0,212121212.12121212
Hoài Đức,0,0,10.0,75.0,133333333.33333333
Gia Lâm,0,0,3.0,45.0,66666666.666666664
Hoài Đức,0,0,0.16,336.0,476190.4761904762
Nam Từ Liêm,0,0,7.0,112.0,62500000.0
Hoàng Mai,0,0,12.0,98.0,122448979.59183674
Hà Đông,0,0,11.0,52.0,211538461.53846154
Đống Đa,0,0,7.0,65.0,107692307.6923077
Đống Đa,0,0,7.0,65.0,107692307.6923077
Nam Từ Liêm,0,0,5.0,35.0,142857142.85714287
Ba Đình,0,0,8.0,48.0,166666666.66666666
Đống Đa,0,0,7.0,40.0,175000000.0
Thanh Oai,0,0,2.0,40.0,50000000.0
Hoài Đức,0,0,40.0,408.0,98039215.68627451
Hoài Đức,0,0,3.0,43.0,69767441.86046511
Hoàng Mai,0,0,5.0,35.0,142857142.85714287
Nam Từ Liêm,0,0,5.0,36.0,138888888.8888889
Ba Đình,0,0,9.0,51.0,176470588.2352941
Long Biên,0,0,10.0,60.0,166666666.66666666
Cầu Giấy,0,0,11.0,162.0,67901234.56790124
Cầu Giấy,0,0,11.0,162.0,67901234.56790124
Cầu Giấy,0,0,7.0,40.0,175000000.0
Thanh Trì,0,0,4.0,76.0,52631578.94736842
Long Biên,0,0,5.0,83.0,60240963.855421685
Nam Từ Liêm,0,0,6.0,36.0,166666666.66666666
Nam Từ Liêm,0,0,6.0,82.0,73170731.70731707
Hà Đông,0,0,4.0,90.0,44444444.44444445
Hoàng Mai,0,0,4.0,61.0,65573770.49180328
Bắc Từ Liêm,0,0,5.0,74.0,67567567.56756757
Thanh Xuân,0,0,5.0,92.0,54347826.08695652
Long Biên,0,0,17.0,76.0,223684210.52631578
Hoàn Kiếm,0,0,3.0,42.0,71428571.42857143
Đống Đa,0,0,17.0,68.0,250000000.0
Hà Đông,0,0,4.0,99.0,40404040.4040404
Thanh Trì,0,0,4.0,67.0,59701492.53731343
Thanh Xuân,0,0,8.0,130.0,61538461.538461536
Thanh Trì,0,0,4.0,67.0,59701492.53731343
Thanh Xuân,0,0,8.0,130.0,61538461.538461536
Thanh Xuân,0,0,6.0,75.0,80000000.0
Đống Đa,0,0,8.0,60.0,133333333.33333333
Gia Lâm,0,0,3.0,60.0,50000000.0
Nam Từ Liêm,0,0,4.0,68.0,58823529.4117647
Thanh Xuân,0,0,6.0,90.0,66666666.666666664
Mê Linh,0,0,13.0,210.0,61904761.9047619
Hoàng Mai,0,0,15.0,55.0,272727272.72727275
Hai Bà Trưng,0,0,12.0,48.0,250000000.0
Thanh Xuân,0,0,50.0,100.0,500000000.0
Cầu Giấy,0,0,6.0,69.0,86956521.73913044
Cầu Giấy,0,0,11.0,181.0,60773480.662983425
Ba Đình,0,0,25.0,101.0,247524752.47524753
Thanh Xuân,0,0,7.0,100.0,70000000.0
Thanh Xuân,0,0,8.0,128.0,62500000.0
Cầu Giấy,0,0,6.0,87.0,68965517.2413793
Cầu Giấy,0,0,6.0,87.0,68965517.2413793
Đống Đa,0,0,15.0,70.0,214285714.2857143
Thanh Xuân,0,0,8.0,97.0,82474226.80412371
Nam Từ Liêm,0,0,7.0,38.0,184210526.31578946
Nam Từ Liêm,0,0,5.0,78.0,64102564.102564104
Thanh Xuân,0,0,41.0,121.0,338842975.2066116
Thanh Xuân,0,0,13.0,173.0,75144508.67052023
Gia Lâm,0,0,2.0,41.0,48780487.80487805
Cầu Giấy,0,0,27.0,72.0,375000000.0
Thanh Xuân,0,0,5.0,65.0,76923076.92307693
Cầu Giấy,0,0,5.0,70.0,71428571.42857143
Nam Từ Liêm,0,0,5.0,31.0,161290322.58064517
Thanh Xuân,0,0,17.0,50.0,340000000.0
Hà Đông,0,0,45.0,108.0,416666666.6666667
Hà Đông,0,0,11.0,60.0,183333333.33333334
Đống Đa,0,0,11.0,42.0,261904761.9047619
Đống Đa,0,0,11.0,42.0,261904761.9047619
Hoàng Mai,0,0,5.0,35.0,142857142.85714287
Cầu Giấy,0,0,16.0,85.0,188235294.11764705
Ba Đình,0,0,38.0,80.0,475000000.0
Thạch Thất,0,0,1.0,81.0,12345679.01234568
Hà Đông,0,0,6.0,118.0,50847457.62711865
Nam Từ Liêm,0,0,3.0,55.0,54545454.54545455
Hà Đông,0,0,6.0,35.0,171428571.42857143
Hà Đông,0,0,5.0,42.0,119047619.04761904
Hà Đông,0,0,4.0,115.0,34782608.69565217
Hoài Đức,0,0,3.0,30.0,100000000.0
Nam Từ Liêm,0,0,5.0,109.0,45871559.633027524
Cầu Giấy,0,0,6.0,96.0,62500000.0
Hoàng Mai,0,0,6.0,100.0,60000000.0
Gia Lâm,0,0,1.0,27.0,37037037.03703704
Nam Từ Liêm,0,0,4.0,68.0,58823529.4117647
Long Biên,0,0,0.15,125.0,1200000.0
Gia Lâm,0,0,1.0,27.0,37037037.03703704
Nam Từ Liêm,0,0,4.0,68.0,58823529.4117647
Long Biên,0,0,0.15,125.0,1200000.0
Gia Lâm,0,0,2.0,56.0,35714285.71428572
Hai Bà Trưng,0,0,13.0,49.0,265306122.4489796
Nam Từ Liêm,0,0,5.0,110.0,45454545.45454545
Hoàng Mai,0,0,4.0,83.0,48192771.084337346
Nam Từ Liêm,0,0,7.0,88.0,79545454.54545455
Gia Lâm,0,0,1.0,33.0,30303030.303030305
Cầu Giấy,0,0,10.0,116.0,86206896.55172414
Hai Bà Trưng,0,0,9.0,110.0,81818181.81818181
Thường Tín,0,0,1.0,42.0,23809523.80952381
Gia Lâm,0,0,46.0,224.0,205357142.85714287
Nam Từ Liêm,0,0,5.0,133.0,37593984.96240602
Thanh Xuân,0,0,9.0,138.0,65217391.30434783
Long Biên,0,0,7.0,43.0,162790697.6744186
Cầu Giấy,0,0,7.0,77.0,90909090.9090909
Hà Đông,0,0,12.0,50.0,240000000.0
Hà Đông,0,0,12.0,50.0,240000000.0
Long Biên,0,0,9.0,50.0,180000000.0
Nam Từ Liêm,0,0,21.0,105.0,200000000.0
Hà Đông,0,0,13.0,300.0,43333333.333333336
Nam Từ Liêm,0,0,5.0,115.0,43478260.86956522
Nam Từ Liêm,0,0,16.0,64.0,250000000.0
Hoàng Mai,0,0,6.0,43.0,139534883.72093022
Nam Từ Liêm,0,0,6.0,120.0,50000000.0
Hà Đông,0,0,11.0,50.0,220000000.0
Đống Đa,0,0,12.0,77.0,155844155.84415585
Nam Từ Liêm,0,0,13.0,90.0,144444444.44444445
Đống Đa,0,0,14.0,75.0,186666666.66666666
Nam Từ Liêm,0,0,2.0,34.0,58823529.4117647
Long Biên,0,0,3.0,35.0,85714285.71428572
Ba Đình,0,0,68.0,137.0,496350364.96350366
Hà Đông,0,0,7.0,112.0,62500000.0
Bắc Từ Liêm,0,0,4.0,65.0,61538461.538461536
Tây Hồ,0,0,62.0,70.0,885714285.7142857
Đống Đa,0,0,1.0,54.0,18518518.51851852
Thanh Xuân,0,0,6.0,88.0,68181818.18181819
Bắc Từ Liêm,0,0,13.0,44.0,295454545.45454544
Hà Đông,0,0,16.0,390.0,41025641.025641024
Thanh Xuân,0,0,12.0,54.0,222222222.2222222
Gia Lâm,0,0,4.0,50.0,80000000.0
Hai Bà Trưng,0,0,9.0,35.0,257142857.14285713
Hoàng Mai,0,0,34.0,180.0,188888888.8888889
Cầu Giấy,0,0,7.0,96.0,72916666.66666667
Thanh Xuân,0,0,7.0,88.0,79545454.54545455
Gia Lâm,0,0,2.0,41.0,48780487.80487805
Chương Mỹ,0,0,1.0,115.0,8695652.173913043
Hoàng Mai,0,0,9.0,36.0,250000000.0
Cầu Giấy,0,0,14.0,43.0,325581395.3488372
Nam Từ Liêm,0,0,7.0,46.0,152173913.04347825
Thanh Xuân,0,0,6.0,66.0,90909090.9090909
Long Biên,0,0,3.0,52.0,57692307.692307696
Long Biên,0,0,15.0,84.0,178571428.57142857
Thanh Xuân,0,0,12.0,164.0,73170731.70731707
Gia Lâm,0,0,1.0,28.0,35714285.71428572
Nam Từ Liêm,0,0,15.0,87.0,172413793.10344827
Nam Từ Liêm,0,0,5.0,95.0,52631578.94736842
Nam Từ Liêm,0,0,6.0,130.0,46153846.15384615
Thanh Xuân,0,0,26.0,73.0,356164383.56164384
Nam Từ Liêm,0,0,14.0,90.0,155555555.55555555
Thanh Xuân,0,0,19.0,48.0,395833333.3333333
Thanh Xuân,0,0,9.0,130.0,69230769.23076923
Thanh Xuân,0,0,8.0,128.0,62500000.0
Long Biên,0,0,99.0,348.0,284482758.62068963
Hà Đông,0,0,4.0,51.0,78431372.5490196
Cầu Giấy,0,0,6.0,87.0,68965517.2413793
Cầu Giấy,0,0,10.0,152.0,65789473.684210524
Long Biên,0,0,78.0,355.0,219718309.85915494
Thanh Xuân,0,0,7.0,97.0,72164948.45360824
Long Biên,0,0,73.0,315.0,231746031.74603173
Cầu Giấy,0,0,12.0,50.0,240000000.0
Long Biên,0,0,59.0,250.0,236000000.0
Long Biên,0,0,78.0,360.0,216666666.66666666
Hà Đông,0,0,10.0,54.0,185185185.1851852
Hoàng Mai,0,0,5.0,35.0,142857142.85714287
Thanh Trì,0,0,3.0,55.0,54545454.54545455
Hoàng Mai,0,0,8.0,35.0,228571428.57142857
Gia Lâm,0,0,3.0,61.0,49180327.86885246
Hai Bà Trưng,0,0,7.0,35.0,200000000.0
Gia Lâm,0,0,2.0,36.0,55555555.55555555
Tây Hồ,0,0,90.0,330.0,272727272.72727275
Ba Đình,0,0,9.0,45.0,200000000.0
Bắc Từ Liêm,0,0,5.0,78.0,64102564.102564104
Nam Từ Liêm,0,0,19.0,186.0,102150537.63440861
Nam Từ Liêm,0,0,12.0,47.0,255319148.93617022
Cầu Giấy,0,0,7.0,110.0,63636363.63636363
Hoàng Mai,0,0,77.0,270.0,285185185.1851852
Hoài Đức,0,0,3.0,87.0,34482758.62068965
Cầu Giấy,0,0,6.0,97.0,61855670.10309278
Hoàng Mai,0,0,36.0,120.0,300000000.0
Nam Từ Liêm,0,0,4.0,65.0,61538461.538461536
Nam Từ Liêm,0,0,4.0,65.0,61538461.538461536
Thanh Xuân,0,0,5.0,80.0,62500000.0
Bắc Từ Liêm,0,0,4.0,32.0,125000000.0
Hai Bà Trưng,0,0,5.0,57.0,87719298.24561404
Hoàng Mai,0,0,27.0,90.0,300000000.0
Hoàn Kiếm,0,0,53.0,80.0,662500000.0
Hoàng Mai,0,0,53.0,230.0,230434782.60869566
Hoàng Mai,0,0,48.0,190.0,252631578.9473684
Nam Từ Liêm,0,0,6.0,73.0,82191780.8219178
Nam Từ Liêm,0,0,11.0,198.0,55555555.55555555
Gia Lâm,0,0,1.0,33.0,30303030.303030305
Nam Từ Liêm,0,0,7.0,89.0,78651685.39325842
Thanh Xuân,0,0,7.0,105.0,66666666.666666664
Hà Đông,0,0,4.0,26.0,153846153.84615386
Nam Từ Liêm,0,0,5.0,83.0,60240963.855421685
Nam Từ Liêm,0,0,6.0,86.0,69767441.86046511
Hà Đông,0,0,6.0,45.0,133333333.33333333
Thanh Xuân,0,0,7.0,105.0,66666666.666666664
Hà Đông,0,0,4.0,26.0,153846153.84615386
Nam Từ Liêm,0,0,5.0,83.0,60240963.855421685
Nam Từ Liêm,0,0,6.0,86.0,69767441.86046511
Hà Đông,0,0,6.0,45.0,133333333.33333333
Thanh Xuân,0,0,2.0,52.0,38461538.461538464
Cầu Giấy,0,0,7.0,32.0,218750000.0
Cầu Giấy,0,0,10.0,138.0,72463768.11594203
Hà Đông,0,0,3.0,30.0,100000000.0
Thanh Xuân,0,0,5.0,36.0,138888888.8888889
Cầu Giấy,0,0,13.0,110.0,118181818.18181819
Thanh Xuân,0,0,6.0,100.0,60000000.0
Long Biên,0,0,14.0,55.0,254545454.54545453
Gia Lâm,0,0,48.0,224.0,214285714.2857143
Hà Đông,0,0,5.0,35.0,142857142.85714287
Hai Bà Trưng,0,0,2.0,18.0,111111111.1111111
Gia Lâm,0,0,28.0,150.0,186666666.66666666
Hoài Đức,0,0,0.175,76.0,2302631.5789473685
Hà Đông,0,0,7.0,58.0,120689655.1724138
Gia Lâm,0,0,24.0,150.0,160000000.0
Cầu Giấy,0,0,6.0,35.0,171428571.42857143
Gia Lâm,0,0,60.0,288.0,208333333.33333334
Hà Đông,0,0,3.0,38.0,78947368.42105263
Ba Đình,0,0,6.0,35.0,171428571.42857143
Hoàng Mai,0,0,1.0,26.0,38461538.461538464
Hoàng Mai,0,0,6.0,40.0,150000000.0
Bắc Từ Liêm,0,0,14.0,65.0,215384615.3846154
Hoài Đức,0,0,3.0,93.0,32258064.51612903
Cầu Giấy,0,0,9.0,114.0,78947368.42105263
Hoài Đức,0,0,3.0,93.0,32258064.51612903
Cầu Giấy,0,0,9.0,114.0,78947368.42105263
Hà Đông,0,0,4.0,38.0,105263157.89473684
Cầu Giấy,0,0,7.0,35.0,200000000.0
Hà Đông,0,0,8.0,42.0,190476190.47619048
Tây Hồ,0,0,32.0,86.0,372093023.25581396
Hoàng Mai,0,0,7.0,36.0,194444444.44444445
Thanh Xuân,0,0,8.0,113.0,70796460.17699115
Đống Đa,0,0,8.0,93.0,86021505.37634408
Đống Đa,0,0,7.0,78.0,89743589.74358974
Hà Đông,0,0,14.0,80.0,175000000.0
Hà Đông,0,0,5.0,80.0,62500000.0
Cầu Giấy,0,0,9.0,56.0,160714285.7142857
Hà Đông,0,0,5.0,80.0,62500000.0
Cầu Giấy,0,0,9.0,56.0,160714285.7142857
Thường Tín,0,0,10.0,81.0,123456790.12345679
Gia Lâm,0,0,37.0,255.0,145098039.21568626
Thanh Trì,0,0,23.0,100.0,230000000.0
Cầu Giấy,0,0,5.0,80.0,62500000.0
Đống Đa,0,0,21.0,49.0,428571428.5714286
Long Biên,0,0,12.0,60.0,200000000.0
Long Biên,0,0,6.0,70.0,85714285.71428572
Nam Từ Liêm,0,0,5.0,107.0,46728971.96261682
Hai Bà Trưng,0,0,13.0,40.0,325000000.0
Hoàng Mai,0,0,7.0,55.0,127272727.27272727
Hai Bà Trưng,0,0,4.0,25.0,160000000.0
Đống Đa,0,0,17.0,48.0,354166666.6666667
Hà Đông,0,0,4.0,89.0,44943820.2247191
Hà Đông,0,0,4.0,89.0,44943820.2247191
Nam Từ Liêm,0,0,3.0,41.0,73170731.70731707
Long Biên,0,0,4.0,42.0,95238095.23809524
Nam Từ Liêm,0,0,5.0,64.0,78125000.0
Hoàng Mai,0,0,20.0,60.0,333333333.3333333
Tây Hồ,0,0,6.0,35.0,171428571.42857143
Đông Anh,0,0,14.0,62.0,225806451.61290324
Đống Đa,0,0,19.0,62.0,306451612.9032258
Hoàng Mai,0,0,6.0,40.0,150000000.0
Cầu Giấy,0,0,11.0,51.0,215686274.50980392
Tây Hồ,0,0,13.0,50.0,260000000.0
Nam Từ Liêm,0,0,17.0,68.0,250000000.0
Cầu Giấy,0,0,8.0,50.0,160000000.0
Bắc Từ Liêm,0,0,9.0,62.0,145161290.32258064
Hà Đông,0,0,10.0,126.0,79365079.36507936
Bắc Từ Liêm,0,0,0.215,236.0,911016.9491525424
Gia Lâm,0,0,2.0,60.0,33333333.333333332
Hoàng Mai,0,0,13.0,64.0,203125000.0
Đông Anh,0,0,10.0,155.0,64516129.03225806
Tây Hồ,0,0,10.0,70.0,142857142.85714287
Hoàng Mai,0,0,7.0,48.0,145833333.33333334
Hà Đông,0,0,49.0,240.0,204166666.66666666
Long Biên,0,0,3.0,78.0,38461538.461538464
Chương Mỹ,0,0,3.0,126.0,23809523.80952381
Hai Bà Trưng,0,0,12.0,55.0,218181818.1818182
Hai Bà Trưng,0,0,14.0,48.0,291666666.6666667
Đông Anh,0,0,3.0,51.0,58823529.4117647
Long Biên,0,0,4.0,37.0,108108108.1081081
Tây Hồ,0,0,15.0,50.0,300000000.0
Cầu Giấy,0,0,22.0,68.0,323529411.7647059
Tây Hồ,0,0,22.0,75.0,293333333.3333333
Đông Anh,0,0,2.0,45.0,44444444.44444445
Tây Hồ,0,0,22.0,75.0,293333333.3333333
Đông Anh,0,0,2.0,45.0,44444444.44444445
Hoàng Mai,0,0,5.0,32.0,156250000.0
Hoàng Mai,0,0,4.0,41.0,97560975.6097561
Đông Anh,0,0,3.0,42.0,71428571.42857143
Long Biên,0,0,6.0,97.0,61855670.10309278
Long Biên,0,0,5.0,85.0,58823529.4117647
Cầu Giấy,0,0,7.0,111.0,63063063.06306306
Gia Lâm,0,0,1.0,35.0,28571428.57142857
Hoàng Mai,0,0,30.0,75.0,400000000.0
Bắc Từ Liêm,0,0,5.0,96.0,52083333.333333336
Hà Đông,0,0,4.0,103.0,38834951.45631068
Gia Lâm,0,0,4.0,30.0,133333333.33333333
Hoài Đức,0,0,18.0,80.0,225000000.0
Bắc Từ Liêm,0,0,7.0,35.0,200000000.0
Long Biên,0,0,3.0,22.0,136363636.36363637
Hà Đông,0,0,2.0,32.0,62500000.0
Cầu Giấy,0,0,34.0,70.0,485714285.71428573
Hà Đông,0,0,11.0,50.0,220000000.0
Long Biên,0,0,12.0,72.0,166666666.66666666
Hoàng Mai,0,0,3.0,64.0,46875000.0
Tây Hồ,0,0,11.0,48.0,229166666.66666666
Thanh Xuân,0,0,6.0,75.0,80000000.0
Nam Từ Liêm,0,0,6.0,51.0,117647058.8235294
Hoàng Mai,0,0,16.0,64.0,250000000.0
Hai Bà Trưng,0,0,6.0,40.0,150000000.0
Nam Từ Liêm,0,0,6.0,32.0,187500000.0
Cầu Giấy,0,0,30.0,156.0,192307692.30769232
Long Biên,0,0,3.0,38.0,78947368.42105263
Cầu Giấy,0,0,6.0,72.0,83333333.33333333
Long Biên,0,0,21.0,94.0,223404255.31914893
Gia Lâm,0,0,18.0,70.0,257142857.14285713
Thanh Xuân,0,0,13.0,78.0,166666666.66666666
Bắc Từ Liêm,0,0,4.0,78.0,51282051.28205128
Bắc Từ Liêm,0,0,4.0,78.0,51282051.28205128
Hoài Đức,0,0,0.12,103.0,1165048.5436893203
Hoàng Mai,0,0,36.0,120.0,300000000.0
Long Biên,0,0,6.0,40.0,150000000.0
Gia Lâm,0,0,2.0,59.0,33898305.084745765
Nam Từ Liêm,0,0,6.0,38.0,157894736.84210527
Hà Đông,0,0,10.0,50.0,200000000.0
Ba Đình,0,0,75.0,134.0,559701492.5373135
Gia Lâm,0,0,17.0,70.0,242857142.85714287
Cầu Giấy,0,0,7.0,35.0,200000000.0
Nam Từ Liêm,0,0,18.0,185.0,97297297.2972973
Thanh Xuân,0,0,5.0,65.0,76923076.92307693
Nam Từ Liêm,0,0,5.0,70.0,71428571.42857143
Hà Đông,0,0,88.0,225.0,391111111.1111111
Hà Đông,0,0,17.0,86.0,197674418.60465115
Nam Từ Liêm,0,0,6.0,38.0,157894736.84210527
Nam Từ Liêm,0,0,6.0,38.0,157894736.84210527
Bắc Từ Liêm,0,0,58.0,190.0,305263157.8947368
Hà Đông,0,0,20.0,77.0,259740259.74025974
Gia Lâm,0,0,19.0,100.0,190000000.0
Hà Đông,0,0,12.0,50.0,240000000.0
Thanh Xuân,0,0,52.0,160.0,325000000.0
Hà Đông,0,0,13.0,55.0,236363636.36363637
Cầu Giấy,0,0,2.0,15.0,133333333.33333333
Hà Đông,0,0,13.0,50.0,260000000.0
Long Biên,0,0,45.0,152.0,296052631.57894737
Hoài Đức,0,0,0.112,75.0,1493333.3333333333
Long Biên,0,0,95.0,330.0,287878787.8787879
Hà Đông,0,0,17.0,92.0,184782608.6956522
Hoàng Mai,0,0,6.0,78.0,76923076.92307693
Hà Đông,0,0,5.0,90.0,55555555.55555555
Long Biên,0,0,65.0,192.0,338541666.6666667
Nam Từ Liêm,0,0,5.0,89.0,56179775.28089888
Hoàng Mai,0,0,6.0,43.0,139534883.72093022
Hà Đông,0,0,6.0,30.0,200000000.0
Hoàng Mai,0,0,4.0,69.0,57971014.492753625
Đống Đa,0,0,9.0,47.0,191489361.70212767
Hà Đông,0,0,10.0,43.0,232558139.5348837
Bắc Từ Liêm,0,0,4.0,70.0,57142857.14285714
Nam Từ Liêm,0,0,4.0,65.0,61538461.538461536
Long Biên,0,0,66.0,225.0,293333333.3333333
Hà Đông,0,0,12.0,47.0,255319148.93617022
Long Biên,0,0,89.0,332.0,268072289.1566265
Long Biên,0,0,89.0,332.0,268072289.1566265
Nam Từ Liêm,0,0,5.0,90.0,55555555.55555555
Hà Đông,0,0,26.0,120.0,216666666.66666666
Nam Từ Liêm,0,0,3.0,55.0,54545454.54545455
Hoàng Mai,0,0,2.0,46.0,43478260.86956522
Cầu Giấy,0,0,16.0,50.0,320000000.0
Hoài Đức,0,0,21.0,147.0,142857142.85714287
Nam Từ Liêm,0,0,23.0,86.0,267441860.4651163
Hà Đông,0,0,10.0,50.0,200000000.0
Đống Đa,0,0,19.0,50.0,380000000.0
Bắc Từ Liêm,0,0,10.0,80.0,125000000.0
Hoàng Mai,0,0,5.0,55.0,90909090.9090909
Hoàng Mai,0,0,7.0,30.0,233333333.33333334
Quốc Oai,0,0,3.0,115.0,26086956.52173913
Tây Hồ,0,0,12.0,70.0,171428571.42857143
Tây Hồ,0,0,12.0,70.0,171428571.42857143
Cầu Giấy,0,0,98.0,152.0,644736842.1052631
Long Biên,0,0,47.0,188.0,250000000.0
Long Biên,0,0,6.0,119.0,50420168.067226894
Tây Hồ,0,0,4.0,65.0,61538461.538461536
Hoài Đức,0,0,0.116,83.0,1397590.3614457832
Sơn Tây,0,0,5.0,111.0,45045045.04504505
Long Biên,0,0,0.174,107.0,1626168.2242990655
Nam Từ Liêm,0,0,65.0,105.0,619047619.0476191
Tây Hồ,0,0,13.0,48.0,270833333.3333333
Hà Đông,0,0,12.0,50.0,240000000.0
Hà Đông,0,0,2.0,45.0,44444444.44444445
Hà Đông,0,0,11.0,60.0,183333333.33333334
Cầu Giấy,0,0,30.0,62.0,483870967.7419355
Thanh Trì,0,0,6.0,44.0,136363636.36363637
Thường Tín,0,0,2.0,70.0,28571428.57142857
Thanh Trì,0,0,6.0,44.0,136363636.36363637
Thường Tín,0,0,2.0,70.0,28571428.57142857
Hà Đông,0,0,14.0,50.0,280000000.0
Hà Đông,0,0,16.0,180.0,88888888.8888889
Nam Từ Liêm,0,0,3.0,43.0,69767441.86046511
Nam Từ Liêm,0,0,4.0,78.0,51282051.28205128
Hoài Đức,0,0,3.0,34.0,88235294.11764705
Hà Đông,0,0,8.0,50.0,160000000.0
Long Biên,0,0,12.0,78.0,153846153.84615386
Cầu Giấy,0,0,6.0,72.0,83333333.33333333
Tây Hồ,0,0,41.0,152.0,269736842.1052632
Ba Đình,0,0,60.0,140.0,428571428.5714286
Gia Lâm,0,0,3.0,65.0,46153846.15384615
Thanh Xuân,0,0,1.0,41.0,24390243.902439024
Thanh Trì,0,0,6.0,41.0,146341463.41463414
Nam Từ Liêm,0,0,4.0,83.0,48192771.084337346
Thanh Xuân,0,0,5.0,39.0,128205128.20512821
Thanh Xuân,0,0,1.0,41.0,24390243.902439024
Thanh Trì,0,0,6.0,41.0,146341463.41463414
Nam Từ Liêm,0,0,4.0,83.0,48192771.084337346
Thanh Xuân,0,0,5.0,39.0,128205128.20512821
Tây Hồ,0,0,0.115,191.0,602094.2408376964
